chunk_id,playback_start_time,accumulation_time,processing_time,total_latency,gap_ms
9fabf4,1800251.2158979,10359,1567,11926,12150
414f18,1800264.5279679,24396,842,25238,8971
589df3,1800277.4302933,37527,614,38141,6533
b7568e,1800281.4669016,37527,4650,42177,0
f0e259,1800289.7023793,10359,764,11123,3876
b04702,1800303.2841979,12701,829,13530,6607
365d0e,1800312.1635128,8290,712,9003,1077
4f855f,1800319.3941667,5677,633,6310,1157
7babcb,1800334.5350989,14181,660,14841,11628
778f3d,1800353.7850486,33239,852,34091,14169
acd5e5,1800362.8672659,38433,4740,43173,0
6d957a,1800367.7268806,1027,7622,8649,0
184e39,1800368.9464565,5726,2225,7951,0
8b62b9,1800374.0288393,5843,487,6330,962
65367c,1800377.0753294,8679,698,9377,1618
775c9a,1800386.8025499,9068,459,9528,5626
9e96d8,1800388.2669277,9069,1923,10992,0
1930ae,1800396.7680613,7393,772,8165,3892
167022,1800403.4993675,5665,520,6185,463
039003,1800413.6603579,15658,688,16346,7994
8b3143,1800425.7487613,27723,711,28434,6122
e99335,1800433.1467916,6234,811,7045,0
7d9e7e,1800443.309774,16662,546,17208,7012
23c87e,1800446.5568048,16662,3793,20455,0
15f4f0,1800452.0671514,8243,607,8850,2121
33c134,1800465.9982236,11650,677,12328,9521
0b7716,1800471.3470057,15798,1879,17676,0
a02b81,1800474.6367591,17451,3515,20966,0
968a35,1800476.1764113,21566,939,22506,0
f71a20,1800486.8530255,32490,693,33182,8977
0a3e91,1800492.5269097,37652,1205,38856,0
69ac20,1800496.2172717,17,3158,3175,0
b17882,1800502.6922021,8242,499,8741,5575
d2e87c,1800509.7161318,15003,761,15765,4850
0ba285,1800517.6905399,23073,666,23739,1832
890ce5,1800530.2732931,10905,813,11718,6826
d15911,1800537.7771242,5875,1574,7449,0
e85cb0,1800554.5324567,15901,617,16518,13076
c15867,1800565.2985704,26489,795,27284,7082
9b64f3,1800574.4068106,5786,3462,9248,0
056a48,1800578.8767853,5430,1572,7002,0
077da3,1800589.7372557,10404,678,11082,7670
77f3c6,1800599.3637537,19964,745,20708,4757
