chunk_id,playback_start_time,accumulation_time,processing_time,total_latency,gap_ms
2ec9c4,1799592.723644,2021,1444,3465,3379
7de1a9,1799595.1509868,5366,527,5893,947
ad6a9f,1799598.3243719,2015,704,2719,0
1e1e10,1799601.5050774,5390,509,5900,1531
73327c,1799604.4435855,1216,911,2127,0
44e088,1799607.6958226,4847,531,5379,2152
78113b,1799610.7047398,1647,1429,3076,0
f75b1e,1799613.6536629,5445,581,6025,1540
fec2e5,1799617.2042442,1110,2100,3210,0
4c3d41,1799623.2079575,8635,578,9213,4484
11ae4f,1799627.2737836,10232,3047,13279,0
88aee3,1799629.9545061,3330,1125,4456,0
27b046,1799634.2103954,8242,470,8712,2406
a9cdd5,1799636.9437225,10030,1415,11445,0
2de519,1799640.4437956,3419,688,4107,0
b615f0,1799642.4439333,1217,978,2195,0
25a764,1799644.8131683,4121,443,4565,1110
9c6ee4,1799647.0261549,6088,689,6778,992
035f9a,1799652.2901454,4430,478,4908,3426
cb35dc,1799655.0721761,7274,415,7690,628
3485c0,1799657.6523663,1614,441,2055,548
523a37,1799664.9462612,5824,552,6376,5553
351b0b,1799668.4943202,7459,2465,9924,0
dcfd38,1799672.3089934,4114,439,4552,1475
07faaf,1799674.2934704,4889,1648,6537,0
8b8f47,1799678.6121247,4151,456,4607,2658
1a48a9,1799680.8739441,5836,1033,6869,0
e00674,1799685.8909385,11448,438,11886,1817
