id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
9d4f58,EARLY,6071.1,1527.7,2.2,7601.0
5dd1d9,EARLY,6924.5,604.4,0.5,7529.4
eb2170,EARLY,4306.3,514.7,15.1,4836.1
386526,EARLY,2814.7,499.2,247.2,3561.2
6d7361,EARLY,4904.6,419.0,332.7,5656.3
2d53d4,EARLY,1813.5,411.8,1998.4,4223.7
54356a,EARLY,4944.4,621.9,0.9,5567.2
78968c,EARLY,4962.9,455.5,0.9,5419.4
1e79eb,EARLY,8814.6,413.3,1.1,9229.0
b7993b,EARLY,1820.2,412.8,4871.4,7104.5
ccb285,EARLY,2263.3,501.0,5078.7,7843.0
1109a5,EARLY,3519.7,443.4,3442.0,7405.1
072a66,EARLY,4913.3,582.4,638.1,6133.8
715a5f,EARLY,0.0,882.3,4468.7,5351.0
2bfb16,EARLY,0.0,1171.8,9499.6,10671.4
fff0c1,EARLY,11449.4,413.0,4617.5,16479.9
ceaf4b,EARLY,1104.4,424.6,4292.0,5820.9
43605a,EARLY,5038.5,603.2,1244.3,6886.0
745ff5,EARLY,3804.7,488.8,1594.5,5887.9
8642ff,EARLY,2700.3,454.9,3122.3,6277.5
426c30,EARLY,3037.0,487.0,2213.1,5737.1
a9bb92,EARLY,6776.3,496.5,0.7,7273.5
5e0a91,EARLY,3228.1,507.2,2385.0,6120.2
3f8bed,EARLY,1674.7,513.2,4502.5,6690.3
a91df2,EARLY,1904.9,528.0,4495.7,6928.7
f74fc5,EARLY,5259.5,582.0,2382.1,8223.5
6bdcd4,EARLY,2956.1,461.6,4397.9,7815.6
c9f79b,EARLY,3108.6,495.0,3953.6,7557.2
2f591f,EARLY,5185.3,520.4,2113.4,7819.1
1a9fe3,EARLY,3619.1,565.6,1937.1,6121.8
9ff438,EARLY,1873.1,412.1,4166.9,6452.1
377066,EARLY,2127.6,336.6,4594.6,7058.7
3b3097,EARLY,303.7,358.3,5518.5,6180.5
09d5d5,EARLY,1279.5,317.8,6429.1,8026.4
d2a691,EARLY,609.1,353.0,6895.7,7857.9
efb389,EARLY,5223.9,622.0,1950.1,7795.9
758e44,EARLY,3421.4,431.2,2112.0,5964.5
9bce12,EARLY,3972.7,620.3,0.5,4593.5
8c32b7,EARLY,2129.4,403.1,3441.7,5974.2
521f7b,EARLY,1988.5,376.2,4019.8,6384.5
5238e3,EARLY,2101.8,395.7,3457.9,5955.4
6d70e2,EARLY,6955.1,573.5,0.8,7529.5
921827,EARLY,4886.4,561.6,749.1,6197.2
f27a35,EARLY,2251.3,317.3,2409.3,4977.9
f5e12e,EARLY,4415.5,586.5,0.8,5002.8
f7d332,EARLY,1945.5,447.1,3687.3,6079.9
c0e242,EARLY,5744.5,649.0,0.8,6394.3
14ab53,EARLY,7635.6,788.0,0.7,8424.3
58d29e,EARLY,3318.9,359.1,3612.5,7290.4
e56a1c,EARLY,1283.8,593.5,3263.9,5141.2
33a429,EARLY,6223.9,532.4,1062.4,7818.7
911eb4,EARLY,11388.8,809.9,0.6,12199.3
dbb8a9,EARLY,1311.8,412.2,8155.9,9879.9
12dacd,EARLY,1909.8,513.5,7584.6,10007.9
