id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
fb7efd,EARLY,6109.2,1507.2,1.0,7617.4
aeb52d,EARLY,6859.6,572.5,0.9,7432.9
3250f8,EARLY,4326.0,427.5,110.7,4864.2
3f2bec,EARLY,2828.2,621.3,0.7,3450.1
ddc744,EARLY,4919.0,582.5,0.6,5502.2
14a764,EARLY,1928.0,446.1,1754.1,4128.3
f9796b,EARLY,4853.5,594.1,0.7,5448.3
948940,EARLY,4935.8,594.1,1.0,5530.9
a35532,EARLY,8848.1,808.2,0.6,9656.9
a30e01,EARLY,1625.9,410.4,5209.1,7245.4
bc6075,EARLY,2209.2,417.8,4722.7,7349.7
b1f0ab,EARLY,3528.8,443.2,2673.0,6645.0
05d99e,EARLY,4921.5,562.9,0.6,5485.0
30eead,EARLY,0.0,889.2,3091.5,3980.7
e140ce,EARLY,9413.5,551.9,0.6,9966.0
ee320a,EARLY,1996.3,518.2,1050.2,3564.8
4a1515,EARLY,1320.8,437.1,1238.1,2996.0
f406d1,EARLY,4833.8,582.3,0.5,5416.5
671343,EARLY,3785.1,567.0,0.6,4352.7
f25641,EARLY,2721.1,430.5,1148.3,4299.8
e523f3,EARLY,3016.7,587.4,0.5,3604.6
1711fb,EARLY,8553.5,621.0,0.4,9174.8
579815,EARLY,1579.4,567.0,3846.1,5992.5
62bcbd,EARLY,4920.3,621.8,2561.0,8103.1
b2c442,EARLY,6406.4,593.6,1453.8,8453.8
a50f47,EARLY,1700.8,455.0,4131.1,6286.9
81ad64,FINAL,2474.8,452.1,4467.7,7394.6
a5e83e,EARLY,5513.2,665.2,1048.5,7226.8
69756c,EARLY,3521.7,450.6,1690.1,5662.3
675950,EARLY,2503.5,469.3,1988.0,4960.8
969739,EARLY,1300.9,387.5,3277.8,4966.2
449650,EARLY,898.0,418.7,3759.1,5075.8
65175f,EARLY,1604.1,396.4,3935.3,5935.7
fb6032,EARLY,1097.0,393.9,4050.8,5541.7
879689,EARLY,0.0,646.1,5138.2,5784.3
be4bba,EARLY,5475.6,622.6,1487.4,7585.6
aabb2b,EARLY,3510.0,466.5,1137.1,5113.6
dc9a1c,EARLY,3867.6,608.7,0.7,4476.9
423050,EARLY,2117.0,432.0,3186.0,5735.0
26b2ea,EARLY,2004.6,409.2,3723.9,6137.7
024b43,EARLY,2092.7,424.0,3306.0,5822.8
3b92af,EARLY,6947.9,683.1,0.4,7631.4
77de0f,EARLY,4919.9,580.9,884.9,6385.6
2d3863,EARLY,2232.3,320.5,2429.4,4982.1
aa0d1f,EARLY,4305.7,598.9,0.7,4905.3
e38729,EARLY,2042.7,451.3,3478.4,5972.4
1d904c,EARLY,5725.1,680.4,0.7,6406.2
7b03ea,EARLY,7638.6,651.6,0.6,8290.8
16803b,EARLY,3322.6,423.1,2838.3,6584.0
6dbb5b,EARLY,1309.9,586.2,2524.9,4421.1
a5b7f3,EARLY,3803.8,618.6,2075.5,6497.9
726b09,EARLY,12664.7,807.7,1.0,13473.3
d7673e,EARLY,1308.4,375.5,7187.6,8871.6
433d24,EARLY,1907.1,411.5,6635.1,8953.7
1d97a4,EARLY,4703.2,632.3,3309.9,8645.4
626bfd,EARLY,6337.7,591.1,602.4,7531.2
b893fa,EARLY,2992.6,401.5,2669.2,6063.2
a7f2eb,EARLY,3015.4,564.5,1221.6,4801.6
deab94,EARLY,0.0,882.5,4863.5,5746.0
a25ac7,EARLY,24623.8,600.1,0.8,25224.8
a6e9b2,EARLY,2943.9,605.9,1626.2,5176.0
1af74e,EARLY,6341.3,701.7,0.8,7043.8
d8e7a4,EARLY,4606.9,456.0,720.0,5782.8
981b34,EARLY,0.0,734.8,3229.8,3964.6
ab53ed,EARLY,0.0,1049.8,6094.6,7144.5
812baa,EARLY,3829.0,614.3,6111.5,10554.9
c85e5e,EARLY,2405.7,338.5,6994.6,9738.8
853e2f,EARLY,1741.7,447.2,6263.8,8452.7
df4ae4,EARLY,762.0,342.0,7957.1,9061.0
dc8004,EARLY,3913.8,601.4,5043.2,9558.4
e9308c,EARLY,8320.9,699.6,605.0,9625.6
b1a489,EARLY,7165.3,593.7,0.3,7759.3
e7a0e3,EARLY,2494.8,548.4,1312.7,4355.8
