id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
609756,EARLY,6093.9,2156.1,1.4,8251.3
4207d6,EARLY,9245.0,914.2,0.6,10159.7
9eede5,EARLY,4696.3,721.7,3368.6,8786.5
602439,EARLY,4981.7,747.4,4172.5,9901.7
ce5363,EARLY,6762.9,998.5,1869.0,9630.4
5ec980,EARLY,4963.6,800.5,4883.5,10647.6
3a06cc,EARLY,8857.5,1162.4,1386.2,11406.1
33dcb6,EARLY,3443.1,718.0,8085.0,12246.0
92b984,EARLY,9364.9,838.9,2274.3,12478.1
a4ee07,EARLY,7887.3,946.4,800.5,9634.2
1fb47c,EARLY,2624.1,538.0,6834.4,9996.5
cef7b8,EARLY,3834.8,729.4,4905.9,9470.0
94fbf0,EARLY,1485.6,546.8,8328.1,10360.5
ff1c87,EARLY,3816.0,762.5,5795.6,10374.0
9be4b2,EARLY,3714.9,531.7,6997.8,11244.4
ea72cc,EARLY,2030.1,764.2,6815.1,9609.4
0e9292,EARLY,6133.8,833.9,6013.9,12981.6
c43ed7,EARLY,7730.5,1100.2,3548.6,12379.3
597dfe,EARLY,7924.1,840.9,7514.3,16279.3
266a16,EARLY,8172.4,867.2,7184.9,16224.6
2b17d7,EARLY,3507.6,584.6,10490.1,14582.2
614e5b,EARLY,1969.8,611.4,12444.7,15025.9
577a7c,EARLY,4332.3,770.1,11061.8,16164.2
f1f0fa,EARLY,5464.6,879.9,9212.8,15557.4
de8024,EARLY,7460.8,979.0,5924.8,14364.6
2ab80b,EARLY,2227.7,668.6,12600.4,15496.7
357c21,EARLY,1918.0,497.1,14113.1,16528.3
449077,EARLY,2182.3,497.7,13269.6,15949.5
6e88b7,EARLY,6935.4,753.7,8618.2,16307.3
35ae2e,EARLY,4951.0,708.9,10360.5,16020.4
0f5885,EARLY,5464.3,566.0,10116.5,16146.8
4e155d,EARLY,1218.8,777.5,11587.1,13583.3
0b1d62,EARLY,1855.2,535.3,16822.1,19212.6
47473b,EARLY,5729.2,830.1,12903.2,19462.5
6d2868,EARLY,7722.9,1008.7,11232.3,19963.9
736ae2,EARLY,4650.7,753.9,13926.0,19330.6
b50ef5,EARLY,6230.4,743.7,12763.2,19737.2
83e490,EARLY,11363.4,1952.1,5092.3,18407.8
fd4244,EARLY,5309.4,669.1,11279.9,17258.3
5517b8,EARLY,2592.9,742.7,12784.0,16119.7
ea5ea2,EARLY,6833.2,822.9,10435.3,18091.4
5bcd5c,EARLY,6355.8,896.0,10046.6,17298.4
bbc80e,EARLY,14771.0,1282.6,2887.4,18941.0
3b5e26,EARLY,8220.3,1191.1,7089.3,16500.7
a8be03,EARLY,2962.1,746.8,12834.7,16543.7
87b450,EARLY,6258.2,837.7,9653.7,16749.6
8a3cce,EARLY,4633.2,765.2,11907.6,17306.0
fa2ab4,EARLY,4102.7,831.4,12765.5,17699.7
7ffc27,EARLY,6883.2,890.6,10525.9,18299.6
053da5,EARLY,5197.8,691.2,13476.4,19365.4
668574,EARLY,3980.1,647.4,13780.8,18408.4
