id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
005373,EARLY,6078.5,1699.4,1.3,7779.3
5a8a43,EARLY,9403.0,783.7,0.6,10187.3
3181e3,EARLY,4667.1,613.2,2376.8,7657.1
e61f47,EARLY,4940.9,595.4,2522.2,8058.6
d0c387,EARLY,6773.5,847.8,0.9,7622.3
caf6f3,EARLY,4956.8,652.2,1889.6,7498.6
d17d8b,EARLY,8840.2,967.6,1.2,9809.1
e4baad,EARLY,3464.9,615.4,5152.1,9232.5
62693b,EARLY,9350.1,674.5,0.8,10025.5
d4b18d,EARLY,7936.5,764.2,0.9,8701.6
822ed0,EARLY,2613.9,516.4,4777.5,7907.8
1c6245,EARLY,6244.1,928.3,0.4,7172.8
8dc391,EARLY,3810.2,614.9,1743.9,6169.0
eb99af,EARLY,3824.5,537.4,2003.6,6365.6
7b7e7f,EARLY,1920.4,617.1,1842.0,4379.5
3c9b00,EARLY,6101.8,771.1,244.5,7117.4
28d41f,EARLY,7655.3,958.9,1.1,8615.3
ffbb88,EARLY,7886.8,714.9,2451.3,11053.0
b436f9,EARLY,8302.4,838.8,906.1,10047.3
d5148f,EARLY,3519.0,578.9,3245.1,7343.0
9291ec,EARLY,1966.8,608.6,4688.3,7263.7
af0588,EARLY,4344.2,590.0,3018.3,7952.5
9bfda6,EARLY,5193.6,635.8,665.5,6495.0
1b5014,EARLY,7435.3,973.0,0.8,8409.1
03ab61,EARLY,2216.1,569.2,5563.5,8348.8
8495e6,EARLY,1919.3,434.7,6639.2,8993.2
eb99d2,EARLY,3599.2,478.7,4155.9,8233.8
7fc984,EARLY,5398.7,739.0,706.6,6844.3
245b5b,EARLY,5093.8,640.7,1529.5,7264.0
4c49e6,EARLY,5542.2,476.1,540.7,6559.0
6e5b0a,EARLY,1087.2,679.5,1789.8,3556.5
6f1774,EARLY,1862.7,441.3,6145.9,8449.9
691dd4,EARLY,5760.3,719.2,1835.7,8315.3
47eb47,EARLY,4103.5,740.9,2896.2,7740.6
20755a,FINAL,0.0,968.0,7468.2,8436.1
c68362,EARLY,2725.6,598.8,5665.8,8990.2
17317f,EARLY,4161.7,782.3,4370.5,9314.6
d60de7,EARLY,6342.7,633.8,1585.6,8562.1
4d5a6a,EARLY,11350.7,973.8,0.8,12325.3
a87da5,EARLY,5238.3,565.7,4094.3,9898.4
a721d6,EARLY,2751.7,660.2,4899.4,8311.2
6a7b64,EARLY,6828.7,645.9,1970.6,9445.2
b7b317,EARLY,6389.5,784.3,733.7,7907.5
582572,EARLY,14761.1,1074.9,0.7,15836.7
e055c1,EARLY,8165.0,783.7,2839.8,11788.6
5a323d,EARLY,2944.3,610.4,7223.5,10778.2
8adf6b,EARLY,6241.2,852.8,3343.8,10437.7
c5b4c9,EARLY,6096.2,1621.4,1.9,7719.5
f64836,EARLY,9234.3,744.5,0.4,9979.3
f53e4c,EARLY,4698.1,792.5,1704.9,7195.4
324b7d,EARLY,5110.3,593.8,1562.9,7267.0
13fd29,EARLY,6631.8,1583.6,1.2,8216.7
6a8d29,EARLY,4937.2,729.3,2111.3,7777.8
417070,EARLY,8815.3,1066.8,1.0,9883.0
d4d088,EARLY,3456.7,596.9,4762.2,8815.8
716e31,EARLY,9358.5,649.7,0.9,10009.1
de3b7e,EARLY,7938.8,735.0,0.9,8674.7
1deba1,EARLY,2625.2,486.5,4357.1,7468.7
fcc4a1,EARLY,6238.9,656.7,0.5,6896.2
1c5e91,EARLY,3792.8,716.2,1044.3,5553.3
be243f,EARLY,3721.5,425.4,1343.8,5490.7
252ba8,EARLY,2037.3,636.5,816.4,3490.2
3cc430,EARLY,6086.8,707.2,0.7,6794.7
9370b9,EARLY,7747.1,966.5,0.9,8714.4
a30753,EARLY,7905.3,738.2,1835.5,10479.1
6ff61b,EARLY,8219.5,777.6,46.6,9043.7
9a9678,EARLY,3514.3,595.2,1926.2,6035.6
4095e2,EARLY,1957.8,575.8,3237.9,5771.4
314d2a,EARLY,4345.3,617.8,1275.3,6238.5
3ed01e,EARLY,5194.9,630.4,0.5,5825.8
c93d55,EARLY,7375.0,866.0,1.0,8242.0
d308c4,EARLY,2107.9,505.6,4300.7,6914.3
536757,EARLY,2009.3,329.2,5157.3,7495.8
798b26,EARLY,2106.7,468.6,4002.2,6577.5
87334e,EARLY,6904.3,1185.1,0.5,8089.9
4ed1b7,EARLY,4922.7,732.2,933.8,6588.8
8ff76a,EARLY,5511.5,445.1,0.7,5957.3
b47f57,EARLY,1102.8,727.3,913.0,2743.1
ea1c52,EARLY,1890.1,473.0,4915.5,7278.6
b01ece,EARLY,5745.6,881.8,393.1,7020.5
9f44a8,EARLY,7515.0,678.8,0.8,8194.6
48aab2,EARLY,4652.9,673.6,1104.8,6431.2
eb3d4d,EARLY,3895.4,665.1,1299.4,5859.8
