id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
004a39,EARLY,6094.4,1698.7,2.2,7795.3
8753b5,EARLY,9246.3,873.2,1.2,10120.7
2b39e2,EARLY,4696.8,730.6,2032.0,7459.4
8b1408,EARLY,4996.3,737.2,2146.7,7880.2
449506,EARLY,6774.1,922.7,63.7,7760.6
1cd8f7,EARLY,7030.5,644.9,585.3,8260.7
95a798,EARLY,8326.6,1085.2,0.7,9412.5
e13ba9,EARLY,4117.7,699.6,7920.5,12737.8
dd358a,EARLY,9383.1,867.4,2596.1,12846.7
612c44,EARLY,7972.2,1038.5,351.4,9362.0
67328d,EARLY,2553.8,478.4,8548.0,11580.1
b024dd,EARLY,3843.3,686.0,6187.6,10716.9
d2dc54,EARLY,1544.2,487.0,8999.6,11030.7
8e4d42,EARLY,3821.1,796.5,6683.0,11300.7
5d3f9b,EARLY,3850.7,457.2,7036.9,11344.9
c64aa8,EARLY,1855.9,700.5,6987.8,9544.1
144a25,EARLY,6011.8,800.8,5356.7,12169.2
697a9c,EARLY,7737.2,1062.5,2591.6,11391.3
312c58,EARLY,8142.5,799.3,4792.0,13733.8
ca944e,EARLY,8040.5,882.1,2879.4,11801.9
cc97bb,EARLY,3503.8,602.2,5372.8,9478.8
511904,EARLY,1962.1,652.0,6781.7,9395.8
2b3e0a,EARLY,4348.7,733.1,5159.3,10241.1
b2c429,EARLY,5448.2,730.0,4264.8,10443.1
4718ae,EARLY,7408.4,918.3,563.8,8890.5
65d43c,EARLY,2123.1,497.9,4742.3,7363.3
54eada,EARLY,1984.3,443.7,5623.0,8051.1
00a7bf,EARLY,2116.7,541.7,5017.6,7675.9
108bc4,EARLY,6921.3,762.9,334.0,8018.2
a2f600,EARLY,4945.9,731.5,870.3,6547.6
0f37fb,EARLY,5446.8,701.3,0.6,6148.7
60a598,EARLY,1672.1,754.8,1304.6,3731.5
866fc3,EARLY,1507.4,550.0,5460.3,7517.8
0f1212,EARLY,5760.0,754.0,1484.6,7998.6
a555ec,EARLY,7631.9,1094.3,0.4,8726.6
1150aa,EARLY,4590.3,766.3,2318.5,7675.2
203f8d,EARLY,6235.1,794.4,559.8,7589.3
63dad8,EARLY,11454.1,1270.8,0.7,12725.7
d8a969,EARLY,5231.1,639.4,4239.5,10110.1
a43901,EARLY,2666.3,766.8,4954.2,8387.3
3ee374,EARLY,6840.2,695.4,2721.7,10257.4
a117dc,EARLY,6470.0,1158.0,959.0,8586.9
1701f0,EARLY,14771.5,1096.5,0.7,15868.7
ef68e0,EARLY,8158.0,851.0,2918.9,11927.9
2f3be3,EARLY,2917.8,593.8,6936.7,10448.4
14a842,EARLY,6259.9,864.9,3254.8,10379.6
fc7ee4,EARLY,4602.1,721.6,4401.3,9725.0
1202d1,EARLY,4066.9,633.9,5192.5,9893.3
f698a8,EARLY,8835.5,1006.2,0.8,9842.4
f787af,EARLY,8250.9,865.2,0.5,9116.5
8b82bd,EARLY,6838.5,704.2,110.7,7653.4
65162c,EARLY,2558.6,611.5,2784.3,5954.4
